,Texto,Clase,Fecha,Autores,Coincidencia_elmundo
0,"hace unos dias ha comenzado su nueva gira de conciertos. 'no creia que tenia tantas ganas de cantar', confiesa a loc. el artista asturiano habla de musica, de politica y, como no, de ana belen.",noticia,2021-03-07,ANA GARCA ROMERO,79
1,"con 10.000 asistentes, el festival fue un caos en su primer dia: las colas para los test 'rapidos' de antigenos llegaron a tres horas y gran parte del publico no uso la ffp2 obligatoria",noticia,2021-03-07,VANESSA GRAELL,76
2,"este sabado se cumplen 50 años de la muerte del lider de the doors, quintaesencia del martir del rock. su perdida supuso el carpetazo a toda aquella energia sexual que libero el movimiento 'hippy'.",noticia,2021-03-07,DARO PRIETO,74
3,actualmente hay 2.412 pacientes ingresados por covid-19 (2.357 ayer) en españa y 586 en uci (584 ayer),noticia,2021-03-07,ESTHER MUCIENTES  NOELIA MARN  JAVIER MUNERA,72
4,"la oferta cultural veraniega en madrid es cada vez mas inabarcable y a ello contribuyen decisivamente los veranos de la villa, con mas de 50 propuestas repartidas a lo largo y ancho de diez distritos de la capital. musica, exposiciones, gastronomia, ilustracion, danza, artes escenic...",noticia,2021-03-07,ISMAEL MARINERO,77
5,"nace iconica sevilla fest, que se suma al amplio abanico de programas musicales en andalucia. se celebrara en la plaza de españa del 22 de septiembre al 10 de octubre, con jose carreras y sara baras, raphael o carla bruni",noticia,2021-02-07,ANA GARCA ROMERO,86
6,festival el autocine madrid race celebra maudes un festival retrofuturista que acogera a los mejores artistas del panorama internacional y nacional de la musica electronica,noticia,2021-02-07,MCANALES,77
7,el musico y su banda completan el amplio cartel del festival que tendra lugar del 29 al 31 de octubre en benicàssim,noticia,2021-02-07,E M,84
8,"este violinista de 24 años solo piensa en seguir estudiando, mantener su vida anterior e irse de casa de sus padres",noticia,2021-02-07,PABLO R ROCES,70
9,el concursante tinerfeño ha estado concursando un año en el formato y este jueves ha logrado alzarse con la victoria.,noticia,2021-02-07,GTRES  LOC,72
10,"el puertorriqueño es el chico del momento. su single 'todo de ti', es un exito global y tiene todas las papeletas para convertirse en la cancion del verano. aunque su sueño no siempre fue la musica. 'no llegue a futbolista, pero se que ponen mi musica antes del...",noticia,2021-02-07,CRISTINA LUIS  REDA SLAFTI ,86
11,"el tinerfeño, de 23 años, es el concursante mas longevo del programa y se lleva la tercera cantidad mas alta en la historia del concurso",noticia,2021-02-07,PABLO R ROCES,72
