,Titulares,Texto,Otros_datos
0,"Víctor Manuel: ""¿Qué se vote si se quiere ser español o catalán? ¿Pero qué coño es esto?""","Hace unos días ha comenzado su nueva gira de conciertos. 'No creía que tenía tantas ganas de cantar', confiesa a LOC. El artista asturiano habla de música, de política y, cómo no, de Ana Belén.","noticia
porcentaje
Coincidencia 79%
03/07/2021ANA GARCÍA ROMERO"
1,"Sin mascarillas ni distancia social: caos en el Vida, el primer festival pospandemia","Con 10.000 asistentes, el festival fue un caos en su primer día: las colas para los test 'rápidos' de antígenos llegaron a tres horas y gran parte del público no usó la FFP2 obligatoria","noticia
porcentaje
Coincidencia 76%
03/07/2021VANESSA GRAELL"
2,"Jim Morrison, el gran copulador del rock que se 'frungió' analmente a los Estados Unidos de América","Este sábado se cumplen 50 años de la muerte del líder de The Doors, quintaesencia del mártir del rock. Su pérdida supuso el carpetazo a toda aquella energía sexual que liberó el movimiento 'hippy'.","noticia
porcentaje
Coincidencia 74%
03/07/2021DARÍO PRIETO"
3,"Coronavirus hoy, última hora | España entra en riesgo alto y la incidencia se dispara a 449 entre los españoles de 20 a 29 años",Actualmente hay 2.412 pacientes ingresados por Covid-19 (2.357 ayer) en España y 586 en UCI (584 ayer),"noticia
porcentaje
Coincidencia 72%
03/07/2021ESTHER MUCIENTES , NOELIA MARÍN , JAVIER MUNERA"
4,Talentos emergentes protagonizan Los Veranos de la Villa más internacionales,"La oferta cultural veraniega en Madrid es cada vez más inabarcable y a ello contribuyen decisivamente Los Veranos de la Villa, con más de 50 propuestas repartidas a lo largo y ancho de diez distritos de la capital. Música, exposiciones, gastronomía, ilustración, danza, artes escénic...","noticia
porcentaje
Coincidencia 77%
03/07/2021ISMAEL MARINERO"
5,Sevilla cerrará el verano con un nuevo festival de música al aire libre,"Nace Icónica Sevilla Fest, que se suma al amplio abanico de programas musicales en Andalucía. Se celebrará en la Plaza de España del 22 de septiembre al 10 de octubre, con José Carreras y Sara Baras, Raphael o Carla Bruni","noticia
porcentaje
Coincidencia 86%
02/07/2021ANA GARCÍA ROMERO"
6,Siete planes para arrancar julio con ganas,Festival El Autocine Madrid RACE celebra Maudes un festival retrofuturista que acogerá a los mejores artistas del panorama internacional y nacional de la música electrónica,"noticia
porcentaje
Coincidencia 77%
02/07/2021M.CANALES"
7,Leiva elige el festival SanSan de Benicàssim para su regreso,El músico y su banda completan el amplio cartel del festival que tendrá lugar del 29 al 31 de octubre en Benicàssim,"noticia
porcentaje
Coincidencia 84%
02/07/2021E. M."
8,"Pablo Díaz: ""Si eres joven, hay que ganar un bote de Pasapalabra para poder independizarte en Madrid""","Este violinista de 24 años sólo piensa en seguir estudiando, mantener su vida anterior e irse de casa de sus padres","noticia
porcentaje
Coincidencia 70%
02/07/2021PABLO R. ROCES"
9,"Pablo Díaz conoció a su novia en Pasapalabra: ""Ha sido mejor que ganar el bote""",El concursante tinerfeño ha estado concursando un año en el formato y este jueves ha logrado alzarse con la victoria.,"noticia
porcentaje
Coincidencia 72%
02/07/2021GTRES / LOC"
10,"Rauw Alejandro: ""Había mucho reguetón en la calle, estábamos un poco monótonos""","El puertorriqueño es el chico del momento. Su single 'Todo de ti', es un éxito global y tiene todas las papeletas para convertirse en la canción del verano. Aunque su sueño no siempre fue la música. 'No llegué a futbolista, pero sé que ponen mi música antes del...","noticia
porcentaje
Coincidencia 86%
02/07/2021CRISTINA LUIS , REDA SLAFTI (vÍdeo)"
11,Pablo Díaz se lleva el bote de Pasapalabra tras 260 programas: 1.828.000 euros,"El tinerfeño, de 23 años, es el concursante más longevo del programa y se lleva la tercera cantidad más alta en la historia del concurso","noticia
porcentaje
Coincidencia 72%
02/07/2021PABLO R. ROCES"
12,"Los últimos días de Jim Morrison: ""Me hago viejo, es el momento de parar""","Este sábado se cumplen 50 años de la muerte del cantante de The Doors, cuya tumba parisina aún es lugar de peregrinación de sus 'fans'. Reconstruimos su estancia en la ciudad, donde intentó dejar el alcohol y triunfar como escritor. Acabó enganchado a la heroína y falleció de un paro cardiaco en...","noticia
porcentaje
Coincidencia 76%
02/07/2021IÑAKI GIL"
13,"Fast & Furious 9, El robo del siglo y todos los estrenos de la semana","La cartelera se renueva el 2 de julio con Fast & Furious 9, una superproducción que huele a éxito, pero también con El robo del siglo, Mandíbulas y Hombre muerto no sabe vivir.","noticia
porcentaje
Coincidencia 70%
02/07/2021JAVIER ESTRADA"
14,Escapada al diminuto pueblo medieval del que todo el mundo habla,"La villa amurallada de Aínsa está en todos los ránkings como uno de los lugares más bonitos de España, por su casco antiguo de origen medieval y por su espectacular entorno en el Pirineo oscense, a las puertas del Parque Nacional de Ordesa.","noticia
porcentaje
Coincidencia 70%
02/07/2021M. CANALES"
15,"Vestidos de Rihanna, guitarras en la habitación y música de la Movida: así es el nuevo Hard Rock Hotel Madrid","Tras Ibiza y Tenerife, la capital se convierte en la sede del tercer retoño (y el primero urbano) de la cadena inspirada en el universo musical en España. 'Jam sessions' en la terraza, sesiones gratuitas de yoga, spa roquero... Pasen y oigan.","noticia
porcentaje
Coincidencia 86%
02/07/2021ISABEL GARCÍA"
16,El protagonista del baile viral de 'El violador eres tú' cuida ahora de los estudiantes confinados en Mallorca,"Sucedió durante una fiesta de Nochevieja en Córdoba para despedir 2019. Victoria Federica, 'en chándal', fue una de las asistentes. El protagonista del vídeo nos cuenta lo sucedido desde Mallorca, sin poder abrir un teléfono saturado de notificaciones","noticia
porcentaje
Coincidencia 70%
01/07/2021ÁNGEL ORTIZ"
17,"Teresa Cameselle, escritora: ""El apoyo a la cultura y literatura es un oasis en un desierto""",La escritora y premio Letras del Mediterráneo 2020 aborda los retos del género o el papel de las administraciones,"noticia
porcentaje
Coincidencia 70%
01/07/2021DANIEL VICENTE"
18,"Niña Pastori se suma al SOM Festival en sustitución de Diego El Cigala, denunciado por malos tratos",La actuación forma parte de su gira especial de 25 años y se desarrollará el domingo 22 de agosto en el Club Náutico de Castellón,"noticia
porcentaje
Coincidencia 77%
01/07/2021EL MUNDO"
19,"Violinista y 'streamer' en Twitch: así es Pablo Díaz, el joven prodigio que ha hecho historia en 'Pasapalabra'","Con tan sólo 23 años, podría convertirse en el ganador de uno de los botes más grandes del programa, casi dos millones de euros.","noticia
porcentaje
Coincidencia 76%
01/07/2021LOC"
20,"Bobby Gillespie: ""El nacionalismo inglés es una extraña mezcla de supremacismo racial y humillación nacional""","El cantante de Primal Scream aprovecha su nuevo disco junto a Jehnny Beth, 'Utopian Ashes', para adelantar parte de su autobiografía y pronosticar la desaparición del Reino Unido por culpa del Brexit","noticia
porcentaje
Coincidencia 77%
01/07/2021ISMAEL MARINERO"
21,"Carmen Maria Machado: ""La mayor parte de los maltratos domésticos son completamente legales""",Carmen Maria Machado escribe sobre su relación tóxica y el silencio archivístico entorno al maltrato doméstico queer en la novela 'En la casa de los sueños',"noticia
porcentaje
Coincidencia 70%
01/07/2021LETICIA BLANCO"
22,Granada en cinco visitas imprescindibles para vivir toda su magia,"La Alhambra es un tesoro indispensable, pero en Granada se unen además de historia y arte, tradición, leyenda, música... Genuina y rabiosamente bella, la ciudad andaluza es siempre una delicia para el viajero que busca un poco de todo. La exploramos a través de cinco tours guiados.","noticia
porcentaje
Coincidencia 73%
01/07/2021EL MUNDO VIAJES"
23,"Lucía Fernanda: ""La cultura gitana no es más machista que el resto""","Lucía Fernanda. Madrid, 1996. Aunque haya decidido no utilizarlo en su nombre artístico, su apellido es Carmona. Palabras mayores. Hija de Antonio y nieta de Juan el Habichuela, confirma con su primer disco, Yelem, que la saga continúa.","noticia
porcentaje
Coincidencia 86%
01/07/2021IÑAKO DÍAZ-GUERRA"
24,"""Hemos visto y leído cosas que dicen que están pasando aquí dentro y que no son verdad""","María del Mar, una de las estudiantes confinadas en el Hotel Bellver de Palma, cuenta en primera persona cómo están viviendo la situación.","noticia
porcentaje
Coincidencia 72%
30/06/2021MANUEL FERNÁNDEZ"
25,Cuando Francisco Umbral desterró a Francisco Pérez,"La recuperación de 'Tamouré', el primer libro de cuentos del escritor, publicado en 1965, recupera una 'rara avis' de su escritura y deja ver los antecedentes de su galaxia literaria","noticia
porcentaje
Coincidencia 70%
30/06/2021ANTONIO LUCAS"
26,"La reforma de ley del suelo, llave de la legislatura en Andalucía",El PP emprende una tramitación exprés de la ley urbanística que permita aprobar el proyecto antes de final de año y tener las manos libres para decidir cuándo se pone fin a la legislatura. El PSOE apela al Reglamento y se niega a adelantar dos semanas el debate inicial en el Parlamento,"noticia
porcentaje
Coincidencia 70%
30/06/2021TERESA LÓPEZ PAVÓN"
