,stems,Label
0,"['day', 'ago', 'began', 'new', 'concert', 'tour', 'think', 'want', 'sing', 'much', 'confess', 'loc', 'asturian', 'artist', 'talk', 'music', 'polit', 'cours', 'ana', 'belen']",1
1,"['10', '000', 'attende', 'festiv', 'chao', 'first', 'day', 'queue', 'rapid', 'antigen', 'test', 'reach', 'three', 'hour', 'much', 'public', 'use', 'mandatori', 'ffp2']",0
2,"['saturday', 'mark', '50th', 'anniversari', 'death', 'leader', 'door', 'quintess', 'martyr', 'rock', 'loss', 'binder', 'sexual', 'energi', 'releas', 'hippi', 'movement']",1
3,"['current', '2', '412', 'patient', 'admit', 'covid', '19', '2', '357', 'yesterday', 'spain', '586', 'uci', '584', 'yesterday']",0
4,"['summer', 'cultur', 'offer', 'madrid', 'increasingli', 'inexhaust', 'contribut', 'decis', 'summer', 'villa', '50', 'propos', 'distribut', 'throughout', 'wide', 'ten', 'district', 'capit', 'music', 'exhibit', 'gastronomi', 'illustr', 'danc', 'scenic', 'art']",1
5,"['born', 'iconica', 'sevilla', 'fest', 'add', 'wide', 'rang', 'music', 'program', 'andalucia', 'held', 'squar', 'spain', '22', 'septemb', '10', 'octob', 'jose', 'race', 'sara', 'bara', 'raphael', 'carla', 'bruni']",1
6,"['festiv', 'autocin', 'madrid', 'race', 'celebr', 'maud', 'retrofuturist', 'festiv', 'welcom', 'best', 'artist', 'intern', 'nation', 'panorama', 'electron', 'music']",1
7,"['musician', 'band', 'complet', 'wide', 'poster', 'festiv', 'take', 'place', '29', '31', 'octob', 'benicàssim']",1
8,"['24', 'year', 'old', 'violinist', 'think', 'continu', 'studi', 'maintain', 'previou', 'life', 'leav', 'parent', 'hous']",1
9,"['contest', 'tinerféño', 'contest', 'year', 'format', 'thursday', 'manag', 'rise', 'victori']",0
10,"['puerto', 'rican', 'boy', 'moment', 'singl', 'global', 'success', 'ballot', 'becom', 'summer', 'song', 'although', 'dream', 'alway', 'music', 'make', 'footbal', 'know', 'put', 'music']",1
